;;;;;;;;;;1.1
;;;;Выручка станций по дням
;;;;Наименование Ресторана: MESTO
;;;;Дата: 01.02.2026 - 28.02.2026
;Дата;;Код;Валюта;;burger;Касса Место;;Итого
;15.02.2026;;101Locards;;;;;8 000.00;;8 000.00
;16.02.2026;;1Рубли;;;;5 773.10;156 649.00;;162 422.10
;16.02.2026;;4VISA;;;;40 590.00;213 992.50;;254 582.50
;16.02.2026;;10ПДС оплата;;;;529.00;3 150.00;;3 679.00
;16.02.2026;;17Кальян;;;;;10 200.00;;10 200.00
;16.02.2026;;19Закрытие сертификата;;;;;2 970.00;;2 970.00
;;;;;;;;;;3.1
;Дата;;Код;Валюта;;burger;Касса Место;;Итого
;16.02.2026;;44ЯндексОплата;;;;9 979.00;17 020.00;;26 999.00
;16.02.2026;;59Ю касса;;;;3 719.00;9 980.00;;13 699.00
;16.02.2026;;67На ланч;;;;2 864.00;1 530.00;;4 394.00
;16.02.2026;;98Платежные карты;;;;;550.00;;550.00
;16.02.2026;;99VISA Альфабанксертификат;;;;;92 031.00;;92 031.00
;16.02.2026;;101Locards;;;;;2 090.00;;2 090.00
;17.02.2026;;1Рубли;;;;12 862.41;110 644.20;;123 506.61
;17.02.2026;;4VISA;;;;44 134.00;169 294.00;;213 428.00
;17.02.2026;;10ПДС оплата;;;;978.00;;;978.00
;17.02.2026;;17Кальян;;;;;4 200.00;;4 200.00
;17.02.2026;;44ЯндексОплата;;;;13 630.00;27 600.00;;41 230.00
;17.02.2026;;59Ю касса;;;;1 557.00;4 545.00;;6 102.00
;17.02.2026;;99VISA Альфабанк;;;;;66 066.00;;66 066.00
;17.02.2026;;101Locards;;;;;3 796.00;;3 796.00
;18.02.2026;;1Рубли;;;;18 357.71;181 474.80;;199 832.51
;18.02.2026;;4VISA;;;;45 401.00;267 167.00;;312 568.00
;18.02.2026;;10ПДС оплата;;;;;2 220.00;;2 220.00
;18.02.2026;;17Кальян;;;;;8 500.00;;8 500.00
;18.02.2026;;44ЯндексОплата;;;;9 970.00;13 970.00;;23 940.00
;18.02.2026;;59Ю касса;;;;5 457.00;6 230.00;;11 687.00
;18.02.2026;;67На ланч;;;;;1 320.00;;1 320.00
;18.02.2026;;99VISA Альфабанк;;;;3 692.00;28 220.00;;31 912.00
;18.02.2026;;101Locards;;;;;288.00;;288.00
;19.02.2026;;1Рубли;;;;21 699.01;92 327.00;;114 026.01
;19.02.2026;;4VISA;;;;58 051.00;342 168.20;;400 219.20
;19.02.2026;;17Кальян;;;;;5 100.00;;5 100.00
;19.02.2026;;19Закрытие сертификата;;;;1 976.00;;;1 976.00
;19.02.2026;;44ЯндексОплата;;;;14 018.00;12 520.00;;26 538.00
;19.02.2026;;59Ю касса;;;;12 860.00;1 530.00;;14 390.00
;19.02.2026;;67На ланч;;;;;1 560.00;;1 560.00
;19.02.2026;;99VISA Альфабанк;;;;;100 547.00;;100 547.00
;19.02.2026;;101Locards;;;;;2 122.00;;2 122.00
;20.02.2026;;1Рубли;;;;50 427.00;220 169.01;;270 596.01
;20.02.2026;;4VISA;;;;97 124.80;509 123.90;;606 248.70
;20.02.2026;;10ПДС оплата;;;;479.00;8 950.00;;9 429.00
;20.02.2026;;17Кальян;;;;;13 200.00;;13 200.00
;20.02.2026;;19Закрытие сертификата;;;;1 000.00;;;1 000.00
;20.02.2026;;44ЯндексОплата;;;;20 057.00;24 750.00;;44 807.00
;20.02.2026;;59Ю касса;;;;20 865.00;5 140.00;;26 005.00
;20.02.2026;;99VISA Альфабанк;;;;;211 138.80;;211 138.80
;20.02.2026;;101Locards;;;;;4 975.00;;4 975.00
;21.02.2026;;1Рубли;;;;13 687.00;165 249.25;;178 936.25
;21.02.2026;;4VISA;;;;109 287.00;643 584.00;;752 871.00
;21.02.2026;;17Кальян;;;;;3 400.00;;3 400.00
;21.02.2026;;19Закрытие сертификата;;;;1 000.00;5 000.00;;6 000.00
;21.02.2026;;44ЯндексОплата;;;;30 882.00;19 680.00;;50 562.00
;21.02.2026;;59Ю касса;;;;5 079.00;6 550.00;;11 629.00
;21.02.2026;;99VISA Альфабанк;;;;2 734.00;181 465.00;;184 199.00
;21.02.2026;;101Locards;;;;;5 000.00;;5 000.00
;22.02.2026;;1Рубли;;;;25 904.02;202 388.00;;228 292.02
;22.02.2026;;4VISA;;;;108 385.00;763 552.20;;871 937.20
;22.02.2026;;10ПДС оплата;;;;2 785.60;;;2 785.60
;22.02.2026;;17Кальян;;;;;8 900.00;;8 900.00
;22.02.2026;;19Закрытие сертификата;;;;1 000.00;;;1 000.00
;22.02.2026;;44ЯндексОплата;;;;21 972.00;26 470.00;;48 442.00
;22.02.2026;;59Ю касса;;;;7 602.00;10 174.00;;17 776.00
