;;;;;;;;Расход блюд
;;;;;;Наименование Ресторана: MESTO
;;;;;;Дата: 04.03.2026 - 05.03.2026
;Код;;;Блюдо;;;Кол-во;Сумма;Скидка;;Оплачено
;Код;;;Блюдо;;;Кол-во;Сумма;Скидка;;Оплачено
;3647Добрый кола 0,25;;;;;;;1,00;230,00;;;230,00
;3650Морс Клюква 300мл;;;;;;;7,00;903,00;-12,90;;890,10
;3651Морс Облепиховый 300мл;;;;;;;2,00;258,00;;;258,00
;3712Ролл Аляска;;;;;;;1,00;550,00;;;550,00
;3717Ролл Сенсей;;;;;;;3,00;1 740,00;-58,00;;1 682,00
;3821Пицца Сливочная с курицей_тонкая;;;;;;;2,00;998,00;;;998,00
;3823Пицца Маргарита_тонкая;;;;;;;1,00;399,00;-39,90;;359,10
;3825Пицца Пепперони_тонкая;;;;;;;4,00;1 836,00;;;1 836,00
;3991Лук зеленый 10гр;;;;;;;2,00;50,00;;;50,00
;3995БУРГЕР с курицей и салатом КОУЛ СЛОУ;;;;;;;19,00;8 452,10;;;8 452,10
;4035BANANA TIKI;;;;;;;1,00;590,00;-59,00;;531,00
;4089Пицца с грушей и горгонзолой_тонкая;;;;;;;2,00;1 018,00;-50,90;;967,10
;4091Кофе Флэт Уайт;;;;;;;9,00;2 340,00;-26,00;;2 314,00
;4139Сэндвич с ветчиной и сыром;;;;;;;1,00;350,00;;;350,00
;4150Ролл с крабом;;;;;;;4,00;2 080,00;;;2 080,00
;4152Ролл Сливочный угорь;;;;;;;1,00;550,00;;;550,00
;4156Лапша фунчоза с морепродуктами;;;;;;;3,00;1 770,00;;;1 770,00
;4165Капучино миндаль молоко;;;;;;;1,00;320,00;;;320,00
;4166Капучино кокос.молоко;;;;;;;2,00;580,00;-58,00;;522,00
;4167Латте кокос.молоко;;;;;;;1,00;290,00;;;290,00
;4198Облепиха-имбирь;;;;;;;6,00;2 880,00;-144,00;;2 736,00
;4214Альма_Романо_Пино_Гриджио_750 мл;;;;;;;4,00;9 600,00;-480,00;;9 120,00
;4232Гато_Негро_Уайт_Семисвит_125 мл;;;;;;;1,00;470,00;-47,00;;423,00
;4259Гато_Негро_Ред_Семисвит_125 мл;;;;;;;2,00;940,00;-47,00;;893,00
;4260Гато_Негро_Ред_Семисвит_750 мл;;;;;;;1,00;2 600,00;;;2 600,00
;4266Ле_Гран_Нуар_Сира_750 мл;;;;;;;1,00;2 800,00;;;2 800,00
;4299Чеснок очищенный 10гр;;;;;;;1,00;30,00;-3,00;;27,00
;4351Ролл Теплый с угрем;;;;;;;1,00;580,00;-58,00;;522,00
;4418Бьянко-Тоник;;;;;;;1,00;380,00;;;380,00
;4435НАПОЛЕОН;;;;;;;1,00;259,00;;;259,00
;4464Кальмар на гриле;;;;;;;8,00;5 840,00;;;5 840,00
;4504Суп Лапша;;;;;;;9,00;3 780,00;-126,00;;3 654,00
;4528Салат зеленый с креветками;;;;;;;8,00;6 000,00;-225,00;;5 775,00
;4532Куриная грудка со шпинатом;;;;;;;4,00;2 680,00;;;2 680,00
;4556Курица с терияки с рисом и овощами;;;;;;;2,00;980,00;-49,00;;931,00
;4559Суп Чаудер с семгой;;;;;;;16,00;9 440,00;-354,00;;9 086,00
;4581Паста сливочная с курицей и шпинатом;;;;;;;4,00;2 600,00;-65,00;;2 535,00
;4642Салат зеленый с курицей БЛн;;;;;;;20,00;3 400,00;;;3 400,00
;4708STUDENT ГАМБУРГЕР 2;;;;;;;6,00;1 434,00;;;1 434,00
;4756Соус Кисло-Сладкий 40гр;;;;;;;6,00;600,00;;;600,00
;;;;;;;Расход блюд;;;;;;;;6
;Код;;;Блюдо;;;Кол-во;Сумма;Скидка;;Оплачено
;4783БУР Крушовице темное 0,45л;;;;;;;2,00;480,00;;;480,00
;4803Белая березка 40мл;;;;;;;3,00;930,00;;;930,00
;4804Хаски 40мл;;;;;;;2,00;580,00;;;580,00
;4826Салат Стейк;;;;;;;15,00;12 300,00;-492,00;;11 808,00
;4863БУРГЕР СМОК-ХАУС;;;;;;;8,00;4 072,00;;;4 072,00
;4893АКЦИЯ_Торт Медовик;;;;;;;9,00;;;;
;4927Бонаква газ/ не газ 500мл/шт;;;;;;;3,00;510,00;-34,00;;476,00
;4964Хлеб деревенский;;;;;;;5,00;700,00;-28,00;;672,00
;4996Селлар_Селекшн_Совиньон_Блан_125 мл;;;;;;;2,00;960,00;;;960,00
;4997Селлар_Селекшн_Совиньон_Блан_750 мл;;;;;;;2,00;5 400,00;;;5 400,00
;5038Салат Цезарь с курицей БЛ;;;;;;;37,00;6 290,00;;;6 290,00
;5071Картофель с грибами;;;;;;;9,00;3 150,00;-175,00;;2 975,00
;5082САЛАТ ЦЕЗАРЬ;;;;;;;4,00;956,00;;;956,00
;5100Антико Итальяно кр сухое 700мл;;;;;;;2,00;2 780,00;;;2 780,00
;5101Антико Итальяно кр сухое 125мл;;;;;;;2,00;580,00;;;580,00
;5141соус Сырный,шт;;;;;;;10,00;790,00;-7,90;;782,10
;5142соус Кисло-сладк,шт;;;;;;;7,00;553,00;-7,90;;545,10
;5144соус BBQ,шт;;;;;;;1,00;79,00;;;79,00
;5177Passioon Sta Martini;;;;;;;5,00;2 000,00;-40,00;;1 960,00
;5212Сидр Грушевый 0,33л;;;;;;;4,00;1 480,00;-148,00;;1 332,00
;5256Кальян ЛЕГКИЙ;;;;;;;1,00;1 700,00;;;1 700,00
;5264Кальян СРЕДНИЙ;;;;;;;5,00;8 500,00;;;8 500,00
;5280Ролл Осака;;;;;;;1,00;530,00;;;530,00
;5281Ролл Тори Темпура;;;;;;;1,00;480,00;-48,00;;432,00
;5300Чай Брусничный;;;;;;;1,00;480,00;-48,00;;432,00
;5321Пицца с окороком тонкая;;;;;;;1,00;579,00;;;579,00
;5322Пицца со страчателлой_тонкая;;;;;;;2,00;1 138,00;-56,90;;1 081,10
;5336Яичница с куриным филе;;;;;;;2,00;1 020,00;;;1 020,00
;5341Яичница со свининой;;;;;;;2,00;1 020,00;-51,00;;969,00
;5343Пицца Маргарита НЕАПОЛЬ;;;;;;;1,00;399,00;;;399,00
;5344Пицца Пепперони НЕАПОЛЬ;;;;;;;1,00;459,00;;;459,00
;5345Пицца  с окороком НЕАПОЛЬ;;;;;;;2,00;1 158,00;;;1 158,00
;5347Пицца Слив. с курицейНЕАПОЛЬ;;;;;;;1,00;499,00;;;499,00
;5348Пицца со страчател.НЕАПОЛЬ;;;;;;;1,00;569,00;;;569,00
;5365Брускетта с авокадо;;;;;;;1,00;390,00;-39,00;;351,00
;5371Сырники с сезонными ягодами;;;;;;;1,00;490,00;-49,00;;441,00
;5390Соус клюквенный 40гр;;;;;;;1,00;100,00;-10,00;;90,00
;5391Соус чили сладкий 40гр;;;;;;;1,00;100,00;-10,00;;90,00
;5395Соус гуакомоле 40гр;;;;;;;1,00;100,00;;;100,00
;5412Drunk Bee;;;;;;;1,00;410,00;;;410,00
;;;;;;;Расход блюд;;;;;;;;7
;Код;;;Блюдо;;;Кол-во;Сумма;Скидка;;Оплачено
;5416Clover Clab;;;;;;;2,00;900,00;;;900,00
;5426Milk Punch ром-кокос;;;;;;;1,00;460,00;-46,00;;414,00
;5427Milk Punch виски-вишня, банан;;;;;;;2,00;920,00;-92,00;;828,00
;5460Сало соленое 30гр;;;;;;;2,00;170,00;-8,50;;161,50
;5461Сало соленое 30гр.;;;;;;;2,00;170,00;;;170,00
;5536Ролл с курицей;;;;;;;4,00;1 680,00;;;1 680,00
;5552Бандито Сильвер 40мл;;;;;;;8,00;2 960,00;;;2 960,00
;5555Тирамису;;;;;;;10,00;4 800,00;-144,00;;4 656,00
;5596Рич кола СТЕКЛО 330мл;;;;;;;10,00;3 200,00;-128,00;;3 072,00
;5603Свин.выр.с клюквенным соусом;;;;;;;3,00;2 280,00;;;2 280,00
;5604Горшочек с курицей в слив.-сырном соусе;;;;;;;9,00;6 120,00;;;6 120,00
;5605Паста сливочная  с креветками и песто;;;;;;;8,00;6 080,00;-380,00;;5 700,00
;5633Просекко Шардоне 125мл;;;;;;;14,00;5 180,00;-444,00;;4 736,00
;5681Рич кола СТЕКЛО без сах. 330мл;;;;;;;2,00;640,00;;;640,00
;5751Маре & ГрильВиньюВерде 750 мл;;;;;;;1,00;2 600,00;-260,00;;2 340,00
;5758Сливочный 40мл;;;;;;;4,00;1 160,00;-116,00;;1 044,00
;5791Чай Маракуя-Гуава;;;;;;;1,00;480,00;-72,00;;408,00
;5805Виноград 30гр.;;;;;;;3,00;210,00;;;210,00
;5867Крушовице 500мл;;;;;;;11,00;4 510,00;-328,00;;4 182,00
;5868Блэк Шип 500мл;;;;;;;13,00;5 590,00;-43,00;;5 547,00
;5869Крушовице светлое 330мл;;;;;;;3,00;1 140,00;;;1 140,00
;5870Крушовице б/а 330мл;;;;;;;5,00;1 650,00;;;1 650,00
;5874БУР Крушовице б/а 330мл;;;;;;;3,00;660,00;-22,00;;638,00
;5875БУР Крушовице светлое 330мл;;;;;;;1,00;220,00;;;220,00
;5900Мурашки;;;;;;;3,00;750,00;-62,50;;687,50
;5930Торт Морковный;;;;;;;5,00;1 900,00;-114,00;;1 786,00
;5944Сет №1 БЛ;;;;;;;1,00;300,00;;;300,00
;5945Сет №2 БЛ;;;;;;;2,00;600,00;;;600,00
;5946Сет №3 БЛ;;;;;;;5,00;1 500,00;;;1 500,00
;5947Суп чечевичный БЛ;;;;;;;16,00;2 720,00;;;2 720,00
;5966БУРГЕР BBQ;;;;;;;6,00;3 174,00;-52,90;;3 121,10
;5977Поке с креветками;;;;;;;2,00;1 240,00;;;1 240,00
;5978Поке с угрем;;;;;;;2,00;1 480,00;;;1 480,00
;5988Сорбет 40 гр;;;;;;;1,00;120,00;-12,00;;108,00
;5993Лапша удон со свининой;;;;;;;3,00;1 650,00;-110,00;;1 540,00
;6030Поке с тунцом;;;;;;;2,00;1 340,00;-100,50;;1 239,50
;6036ФРИ БАТАТ 150гр;;;;;;;2,00;558,00;;;558,00
;6042Аперитиво Шприц;;;;;;;3,00;1 560,00;-156,00;;1 404,00
;6084Брускетта с окороком и скремблом;;;;;;;1,00;330,00;-33,00;;297,00
;6085Скрембл с семгой и гуакомоле;;;;;;;1,00;750,00;-75,00;;675,00
;;;;;;;Расход блюд;;;;;;;;8
;Код;;;Блюдо;;;Кол-во;Сумма;Скидка;;Оплачено
;6124Доставка медовик;;;;;;;1,00;;;;
;6131Добрый Лимон 250мл СТЕКЛО;;;;;;;2,00;620,00;;;620,00
;6193Чай Черный с Чабрецом завтрак;;;;;;;2,00;;;;
;6194Чай Черный завтрак;;;;;;;1,00;;;;
;6202ГринЛайф овиньон Блан 125 мл;;;;;;;3,00;1 470,00;;;1 470,00
;6203ГринЛайф овиньон Блан 750 мл;;;;;;;3,00;8 100,00;;;8 100,00
